Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Brooklyn North,BKN17,12,2019,6,13.97,1.15
Brooklyn South,BKS06,12,2019,6,29.45,1.47
Brooklyn South,BKS07,12,2019,6,99.09,2.00
Brooklyn South,BKS10,12,2019,6,24.92,1.40
Brooklyn South,BKS11,12,2019,6,19.02,1.28
Brooklyn South,BKS12,12,2019,6,15.29,1.18
Brooklyn South,BKS13,12,2019,6,14.94,1.17
Brooklyn South,BKS14,12,2019,6,15.77,1.20
Brooklyn South,BKS15,12,2019,6,19.33,1.29
Brooklyn South,BKS18,12,2019,6,15.11,1.18
Bronx,BX01,12,2019,6,7.75,0.89
Bronx,BX02,12,2019,6,14.18,1.15
Bronx,BX03,12,2019,6,10.31,1.01
Bronx,BX04,12,2019,6,13.23,1.12
Bronx,BX05,12,2019,6,12.00,1.08
Bronx,BX06,12,2019,6,15.03,1.18
Bronx,BX07,12,2019,6,15.40,1.19
Bronx,BX08,12,2019,6,22.02,1.34
Bronx,BX09,12,2019,6,10.85,1.04
Bronx,BX10,12,2019,6,21.17,1.33
Bronx,BX11,12,2019,6,17.17,1.23
Bronx,BX12,12,2019,6,21.77,1.34
Manhattan,MN01,12,2019,6,28.66,1.46
Manhattan,MN02,12,2019,6,28.29,1.45
Manhattan,MN03,12,2019,6,14.56,1.16
Manhattan,MN04,12,2019,6,23.81,1.38
Manhattan,MN05,12,2019,6,20.98,1.32
Manhattan,MN06,12,2019,6,23.60,1.37
Manhattan,MN07,12,2019,6,28.04,1.45
Manhattan,MN08,12,2019,6,26.92,1.43
Manhattan,MN09,12,2019,6,18.74,1.27
Manhattan,MN10,12,2019,6,14.89,1.17
Manhattan,MN11,12,2019,6,11.80,1.07
Manhattan,MN12,12,2019,6,16.45,1.22
Queens East,QE07,12,2019,6,20.24,1.31
Queens East,QE08,12,2019,6,16.86,1.23
Queens East,QE10,12,2019,6,19.15,1.28
Queens East,QE11,12,2019,6,23.85,1.38
Queens East,QE12,12,2019,6,14.12,1.15
Queens East,QE13,12,2019,6,21.49,1.33
Queens East,QE14,12,2019,6,14.57,1.16
Queens West,QW01,12,2019,6,20.57,1.31
Queens West,QW02,12,2019,6,21.73,1.34
Queens West,QW03,12,2019,6,14.37,1.16
Queens West,QW04,12,2019,6,15.42,1.19
Queens West,QW05,12,2019,6,23.85,1.38
Queens West,QW06,12,2019,6,20.30,1.31
Queens West,QW09,12,2019,6,22.76,1.36
Staten Island,SI01,12,2019,6,21.46,1.33
Staten Island,SI02,12,2019,6,19.32,1.29
Staten Island,SI03,12,2019,6,20.51,1.31
Brooklyn North,BKN01,9,2019,3,15.70,1.20
Brooklyn North,BKN02,9,2019,3,19.73,1.30
Brooklyn North,BKN03,9,2019,3,12.32,1.09
Brooklyn North,BKN04,9,2019,3,15.98,1.20
Brooklyn North,BKN05,9,2019,3,10.38,1.02
Brooklyn North,BKN08,9,2019,3,16.87,1.23
Brooklyn North,BKN09,9,2019,3,14.48,1.16
Brooklyn North,BKN16,9,2019,3,9.26,0.97
Brooklyn North,BKN17,9,2019,3,14.05,1.15
Brooklyn South,BKS06,9,2019,3,30.62,1.49
Brooklyn South,BKS07,9,2019,3,20.31,1.31
Brooklyn South,BKS10,9,2019,3,24.70,1.39
Brooklyn South,BKS11,9,2019,3,19.11,1.28
Brooklyn South,BKS12,9,2019,3,15.26,1.18
Brooklyn South,BKS13,9,2019,3,14.90,1.17
Brooklyn South,BKS14,9,2019,3,15.24,1.18
Brooklyn South,BKS15,9,2019,3,19.03,1.28
Brooklyn South,BKS18,9,2019,3,15.40,1.19
Bronx,BX01,9,2019,3,7.14,0.85
