Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Brooklyn South,BKS12,8,2019,2,15.51842511,1.190847645
Brooklyn South,BKS13,8,2019,2,14.44820382,1.15981386
Brooklyn South,BKS14,8,2019,2,15.32787089,1.185481834
Brooklyn South,BKS15,8,2019,2,19.24200676,1.284250363
Brooklyn South,BKS18,8,2019,2,15.65030199,1.194522722
Bronx,BX01,8,2019,2,7.037045284,0.847390346
Bronx,BX02,8,2019,2,13.06718577,1.116182065
Bronx,BX03,8,2019,2,8.979704875,0.953262063
Bronx,BX04,8,2019,2,11.9018802,1.075615575
Bronx,BX05,8,2019,2,10.83657414,1.034892007
Bronx,BX06,8,2019,2,14.41832781,1.158914895
Bronx,BX07,8,2019,2,14.17788468,1.15161144
Bronx,BX08,8,2019,2,20.3263257,1.30805888
Bronx,BX09,8,2019,2,9.886100393,0.995025016
Bronx,BX10,8,2019,2,20.28656849,1.307208592
Bronx,BX11,8,2019,2,16.05683688,1.205659995
Bronx,BX12,8,2019,2,19.05672669,1.280048305
Manhattan,MN01,8,2019,2,27.48262453,1.439058205
Manhattan,MN02,8,2019,2,27.35454408,1.437029481
Manhattan,MN03,8,2019,2,14.78524086,1.169828404
Manhattan,MN04,8,2019,2,23.90456862,1.378480911
Manhattan,MN05,8,2019,2,21.7247699,1.336955185
Manhattan,MN06,8,2019,2,23.70104912,1.37476757
Manhattan,MN07,8,2019,2,27.44776101,1.438506924
Manhattan,MN08,8,2019,2,26.6738029,1.426084938
Manhattan,MN09,8,2019,2,18.36899573,1.264085413
Manhattan,MN10,8,2019,2,14.54825984,1.162811049
Manhattan,MN11,8,2019,2,11.37502662,1.055952422
Manhattan,MN12,8,2019,2,16.5340611,1.218379538
Queens East,QE07,8,2019,2,20.42470296,1.310155749
Queens East,QE08,8,2019,2,17.46772908,1.242236448
Queens East,QE10,8,2019,2,19.65153082,1.293396387
Queens East,QE11,8,2019,2,24.84640042,1.39526348
Queens East,QE12,8,2019,2,14.71676711,1.167812417
Queens East,QE13,8,2019,2,21.23305592,1.327012504
Queens East,QE14,8,2019,2,13.16418994,1.11939414
Queens West,QW01,8,2019,2,20.16903201,1.304685055
Queens West,QW02,8,2019,2,21.70308522,1.336521476
Queens West,QW03,8,2019,2,14.83123178,1.171177222
Queens West,QW04,8,2019,2,15.30344791,1.18478929
Queens West,QW05,8,2019,2,24.32708414,1.386090057
Queens West,QW06,8,2019,2,,
Queens West,QW09,8,2019,2,22.14691726,1.345313283
Staten Island,SI01,8,2019,2,19.63270997,1.292980251
Staten Island,SI02,8,2019,2,20.61383424,1.314158779
Staten Island,SI03,8,2019,2,21.64600795,1.335377814
Brooklyn North,BKN01,7,2019,1,17.12694338,1.233679862
Brooklyn North,BKN02,7,2019,1,22.50680169,1.352313784
Brooklyn North,BKN03,7,2019,1,13.86100098,1.141794594
Brooklyn North,BKN04,7,2019,1,17.07149448,1.232271542
Brooklyn North,BKN05,7,2019,1,11.68028553,1.067453459
Brooklyn North,BKN08,7,2019,1,19.79884475,1.29663985
Brooklyn North,BKN09,7,2019,1,14.88625672,1.172785504
Brooklyn North,BKN16,7,2019,1,10.07163824,1.003100118
Brooklyn North,BKN17,7,2019,1,15.7045133,1.196024482
Brooklyn South,BKS06,7,2019,1,31.13331599,1.49322538
Brooklyn South,BKS07,7,2019,1,22.21962618,1.346736748
Brooklyn South,BKS10,7,2019,1,26.92430485,1.430144499
Brooklyn South,BKS11,7,2019,1,20.92384133,1.320641418
Brooklyn South,BKS12,7,2019,1,16.13545651,1.207781257
Brooklyn South,BKS13,7,2019,1,15.8433444,1.199846863
Brooklyn South,BKS14,7,2019,1,16.43879565,1.215869997
Brooklyn South,BKS15,7,2019,1,20.53694762,1.312535895
Brooklyn South,BKS18,7,2019,1,17.09441646,1.23285428
Bronx,BX01,7,2019,1,8.535327199,0.931220174
Bronx,BX02,7,2019,1,13.59685185,1.133438366
Bronx,BX03,7,2019,1,11.05949758,1.043735398
Bronx,BX04,7,2019,1,13.73126955,1.137710693
Bronx,BX05,7,2019,1,12.56667388,1.099220345
Bronx,BX06,7,2019,1,16.33609299,1.213148197
Bronx,BX07,7,2019,1,16.14715303,1.208095961
Bronx,BX08,7,2019,1,99.66626445,1.998548181
Bronx,BX09,7,2019,1,11.40081657,1.056935958
Bronx,BX10,7,2019,1,22.01519267,1.342722491
Bronx,BX11,7,2019,1,18.76514921,1.273352022
Bronx,BX12,7,2019,1,21.20569489,1.326452508
Manhattan,MN01,7,2019,1,29.05448623,1.4632132
Manhattan,MN02,7,2019,1,29.8148803,1.47443307
Manhattan,MN03,7,2019,1,15.28539049,1.184276538
Manhattan,MN04,7,2019,1,24.53964971,1.389868359
Manhattan,MN05,7,2019,1,24.06372368,1.381362832
Manhattan,MN06,7,2019,1,24.5142334,1.389418317
Manhattan,MN07,7,2019,1,28.98421073,1.462161479
Manhattan,MN08,7,2019,1,28.3071263,1.451895783
Manhattan,MN09,7,2019,1,19.34672831,1.286607533
Manhattan,MN10,7,2019,1,15.91334529,1.201761486
Manhattan,MN11,7,2019,1,12.32764075,1.09087997
Manhattan,MN12,7,2019,1,18.24021504,1.261029954
Queens East,QE07,7,2019,1,22.25532109,1.347433864
Queens East,QE08,7,2019,1,18.49776343,1.267119221
Queens East,QE10,7,2019,1,21.44974217,1.331422076
Queens East,QE11,7,2019,1,27.94464817,1.446298646
Queens East,QE12,7,2019,1,15.50190976,1.190385204
Queens East,QE13,7,2019,1,23.47780584,1.370657507
Queens East,QE14,7,2019,1,14.35735943,1.157074573
Queens West,QW01,7,2019,1,21.9448952,1.341333511
Queens West,QW02,7,2019,1,23.77152221,1.376056993
Queens West,QW03,7,2019,1,16.12599076,1.207526407
Queens West,QW04,7,2019,1,16.43567769,1.215787616
Queens West,QW05,7,2019,1,26.12512528,1.417058382
Queens West,QW06,7,2019,1,23.09051911,1.363433697
Queens West,QW09,7,2019,1,24.61870512,1.391265206
Staten Island,SI01,7,2019,1,21.76295209,1.337717806
Staten Island,SI02,7,2019,1,22.63785064,1.35483519
Staten Island,SI03,7,2019,1,23.44414686,1.370034433
Brooklyn North,BKN01,1,2019,7,16.75119618,1.224045825
Brooklyn North,BKN02,1,2019,7,19.27206253,1.284928196
Brooklyn North,BKN03,1,2019,7,12.34902944,1.091632826
Brooklyn North,BKN04,1,2019,7,15.47260923,1.189563557
Brooklyn North,BKN05,1,2019,7,10.01625064,1.000705183
Brooklyn North,BKN08,1,2019,7,15.60067818,1.193143478
Brooklyn North,BKN09,1,2019,7,12.67900008,1.103085005
Brooklyn North,BKN16,1,2019,7,9.441908673,0.975059795
Brooklyn North,BKN17,1,2019,7,13.25946058,1.122525857
Brooklyn South,BKS06,1,2019,7,27.13150072,1.433473816
Brooklyn South,BKS07,1,2019,7,19.85510561,1.297872201
Brooklyn South,BKS10,1,2019,7,23.27250001,1.366843039
Brooklyn South,BKS11,1,2019,7,18.72756708,1.272481361
Brooklyn South,BKS12,1,2019,7,15.46260954,1.189282789
Brooklyn South,BKS13,1,2019,7,14.53450971,1.162400386
Brooklyn South,BKS14,1,2019,7,14.21081657,1.152619034
Brooklyn South,BKS15,1,2019,7,19.02261082,1.279270123
Brooklyn South,BKS18,1,2019,7,14.53616579,1.162449868
Bronx,BX01,1,2019,7,6.852013872,0.835818234
Bronx,BX02,1,2019,7,13.28367716,1.123318312
Bronx,BX03,1,2019,7,9.084058705,0.958279932
Bronx,BX04,1,2019,7,11.63411652,1.065733409
Bronx,BX05,1,2019,7,11.2859966,1.052539915
Bronx,BX06,1,2019,7,11.78544658,1.071346044
Bronx,BX07,1,2019,7,14.49547788,1.161232538
Bronx,BX08,1,2019,7,20.92067442,1.320575681
Bronx,BX09,1,2019,7,9.942582688,0.997499212
Bronx,BX10,1,2019,7,20.90019773,1.320150395
Bronx,BX11,1,2019,7,16.71740086,1.223168756
Bronx,BX12,1,2019,7,21.12726714,1.324843324
Manhattan,MN01,1,2019,7,26.08422665,1.416377965
Manhattan,MN02,1,2019,7,24.61806442,1.391253904
Manhattan,MN03,1,2019,7,13.37041384,1.12614485
Manhattan,MN04,1,2019,7,22.58173004,1.353757211
Manhattan,MN05,1,2019,7,19.99136545,1.300842458
Manhattan,MN06,1,2019,7,22.7248635,1.356501283
Manhattan,MN07,1,2019,7,26.22150055,1.418657541
Manhattan,MN08,1,2019,7,25.83471452,1.412203667
Manhattan,MN09,1,2019,7,16.73707565,1.223679579
Manhattan,MN10,1,2019,7,14.22585687,1.153078435
Manhattan,MN11,1,2019,7,10.92691794,1.038497682
Manhattan,MN12,1,2019,7,15.45618774,1.189102384
Queens East,QE07,1,2019,7,20.0256704,1.301587064
Queens East,QE08,1,2019,7,16.65389829,1.221515908
Queens East,QE10,1,2019,7,19.19223492,1.283125551
