Zone,District,Year,Month,Capture Rate-Paper ,Capture Rate-MGP,Capture Rate-Total
Bronx,BX09,2019,7,22.98,39.18,30.37
Bronx,BX10,2019,7,38.60,75.46,53.27
Bronx,BX11,2019,7,34.19,53.83,42.00
Bronx,BX12,2019,7,34.25,72.18,49.34
Manhattan,MN01,2019,7,44.41,63.60,49.58
Manhattan,MN02,2019,7,39.27,71.15,47.86
Manhattan,MN03,2019,7,39.37,42.36,40.65
Manhattan,MN04,2019,7,33.90,67.69,43.00
Manhattan,MN05,2019,7,32.14,57.11,38.86
Manhattan,MN06,2019,7,35.01,64.61,42.98
Manhattan,MN07,2019,7,42.47,70.83,50.11
Manhattan,MN08,2019,7,42.64,68.89,49.71
Manhattan,MN09,2019,7,54.11,49.61,52.18
Manhattan,MN10,2019,7,36.48,55.71,44.73
Manhattan,MN11,2019,7,38.08,30.80,34.95
Manhattan,MN12,2019,7,42.11,55.73,47.95
Queens East,QE07,2019,7,47.12,58.52,51.66
Queens East,QE08,2019,7,27.14,49.78,33.82
Queens East,QE10,2019,7,35.83,80.98,51.84
Queens East,QE11,2019,7,52.86,78.92,62.10
Queens East,QE12,2019,7,32.79,58.20,45.02
Queens East,QE13,2019,7,33.00,84.33,51.20
Queens East,QE14,2019,7,31.54,44.14,36.55
Queens West,QW01,2019,7,48.95,68.37,56.67
Queens West,QW02,2019,7,50.28,66.99,56.93
Queens West,QW03,2019,7,31.62,55.11,40.97
Queens West,QW04,2019,7,35.37,56.86,43.92
Queens West,QW05,2019,7,46.54,80.72,60.14
Queens West,QW06,2019,7,30.53,66.23,40.14
Queens West,QW09,2019,7,40.00,70.27,52.04
Staten Island,SI01,2019,7,39.82,71.93,51.20
Staten Island,SI02,2019,7,42.87,73.29,53.65
Staten Island,SI03,2019,7,45.31,80.07,57.63
Brooklyn North,BKN01,2019,6,48.45,47.74,48.16
Brooklyn North,BKN02,2019,6,37.15,57.74,43.23
Brooklyn North,BKN03,2019,6,35.22,46.02,39.61
Brooklyn North,BKN04,2019,6,39.93,68.05,51.36
Brooklyn North,BKN05,2019,6,25.03,48.09,34.41
Brooklyn North,BKN08,2019,6,48.56,59.74,53.10
Brooklyn North,BKN09,2019,6,34.48,45.80,38.78
Brooklyn North,BKN16,2019,6,22.20,36.64,28.07
Brooklyn North,BKN17,2019,6,30.06,63.10,42.61
Brooklyn South,BKS06,2019,6,47.90,82.41,58.10
Brooklyn South,BKS07,2019,6,49.97,73.06,58.74
Brooklyn South,BKS10,2019,6,54.48,78.29,63.52
Brooklyn South,BKS11,2019,6,48.03,64.97,54.46
Brooklyn South,BKS12,2019,6,45.98,44.84,45.52
Brooklyn South,BKS13,2019,6,42.75,51.93,46.76
Brooklyn South,BKS14,2019,6,39.45,62.81,47.45
Brooklyn South,BKS15,2019,6,48.54,62.94,54.01
Brooklyn South,BKS18,2019,6,39.00,74.45,51.60
Bronx,BX01,2019,6,23.09,28.31,25.37
Bronx,BX02,2019,6,40.62,56.69,47.64
Bronx,BX03,2019,6,28.19,42.91,34.62
